site,overlap_days,slope,intercept,pearson_r,r_squared,rmse,mae,mean_bias_smap_minus_tdr
Chirimachaya,3818,0.08036668683811041,0.21692764580986934,0.14000900114244375,0.019602520400904815,0.39224594443241767,0.38191637702276465,-0.38133418997739243
Virgen,3705,0.37008875448829537,0.05224589685562643,0.32816793722824344,0.10769419502464032,0.3200939215844719,0.3157227392581331,-0.3157227392581331
