Month,local_vwc_mean,local_z_score,site,smap_soil_moisture_mean,smap_z_score
2015-01-01,0.6866050627240143,0.47177388864639586,Chirimachaya,,
2015-02-01,0.6628381696428572,0.15538949573651067,Chirimachaya,,
2015-03-01,0.7087215501792115,0.7661881157360635,Chirimachaya,0.34107617288827896,1.4762391603029508
2015-04-01,0.7026634259259259,0.6855424900119338,Chirimachaya,0.33196617774665355,1.2869878820560527
2015-05-01,0.6898960573476702,0.5155835415328545,Chirimachaya,0.32073093253758644,1.0535866031115824
2015-06-01,0.7156084490740741,0.8578663724792787,Chirimachaya,0.31052069589495657,0.8414788790369614
2015-07-01,0.7097689292114695,0.780130803917306,Chirimachaya,0.2866994579953532,0.346615857505313
2015-08-01,0.6672364471326165,0.2139392754109081,Chirimachaya,0.2580139970466975,-0.2492966613531724
2015-09-01,0.6520364558754129,0.011597303756285718,Chirimachaya,0.22362829303989804,-0.9636261791563171
2015-10-01,0.6707501120071685,0.2607131101072599,Chirimachaya,0.21238848182462874,-1.1971223124335082
2015-11-01,0.6515443287037037,0.0050461169468023585,Chirimachaya,0.21992740277200934,-1.0405085707449995
2015-12-01,0.6389242831541219,-0.1629516703981964,Chirimachaya,0.21988122693953974,-1.0414678287010282
2016-01-01,0.6189361559139785,-0.42903320998706396,Chirimachaya,0.23758173241249975,-0.6737570632948228
2016-02-01,0.6837359913793104,0.43358086978988536,Chirimachaya,0.2885932769497921,0.38595810218534904
2016-03-01,0.7003511424731184,0.654761420144956,Chirimachaya,0.3235892890201461,1.1129661757238687
2016-04-01,0.70735,0.7479300678997948,Chirimachaya,0.3216521809498469,1.0727246418144334
2016-05-01,0.6825981182795698,0.41843352643959586,Chirimachaya,0.3034204870702759,0.6939789545034155
2016-06-01,0.7136978009259259,0.8324318635448525,Chirimachaya,0.29988301545381546,0.6204914262699138
2016-07-01,0.6667805779569892,0.20787075430111543,Chirimachaya,0.2696250230073929,-0.008088903208588
2016-08-01,0.6628693996415771,0.1558052288385117,Chirimachaya,0.24076469861451655,-0.607634039848196
2016-09-01,0.6740159722222223,0.3041881742622607,Chirimachaya,0.22029016148298977,-1.0329726117591866
2016-10-01,0.6609819668458782,0.13067976219942262,Chirimachaya,0.2098584218972152,-1.2496818437900568
2016-11-01,0.5721242041902999,-1.0521929505744898,Chirimachaya,0.2053409892444809,-1.3435271083191116
2016-12-01,0.6704297715053763,0.2564487439220001,Chirimachaya,0.21297946055569952,-1.184845304758626
2017-01-01,0.6855621639784947,0.45789084195026225,Chirimachaya,0.26521149277687067,-0.09977569609074374
2017-02-01,0.690671378968254,0.5259046070335359,Chirimachaya,0.3059471148465361,0.746467186261796
2017-03-01,0.6987067652329749,0.6328715040730029,Chirimachaya,0.3406172023425179,1.4667044941354497
2017-04-01,0.6949457175925926,0.5828045150751466,Chirimachaya,0.3393027196327845,1.4393973958128807
2017-05-01,0.6891526657706093,0.5056875281162243,Chirimachaya,0.3324303398689916,1.2966303981716651
2017-06-01,0.6832320601851852,0.4268725480762639,Chirimachaya,0.30692044720053674,0.7666872181377757
2017-07-01,0.6755245295698925,0.3242700587131476,Chirimachaya,0.27957096647831703,0.1985283875782372
2017-08-01,0.6470657482078854,-0.054572654696131144,Chirimachaya,0.24864352434392895,-0.4439591072938627
2017-09-01,0.641833912037037,-0.12421875042541247,Chirimachaya,0.22595999607195455,-0.9151873191515981
2017-10-01,0.6962550403225807,0.6002341923844966,Chirimachaya,0.21417590434993464,-1.1599903499656246
