product,total_precipitation_mm,mean_monthly_precipitation_mm,mean_monthly_bias_mm,monthly_correlation_with_local,z_score_correlation_with_local
Local station,12836.311999999993,97.24478787878782,0.0,1.0,1.0
CHIRPS,9803.00773203733,74.26521009119189,-22.979577787595993,0.30948745536147954,0.13676111031421637
ERA5-Land,23881.788284392194,180.92263851812268,83.67785063933478,0.3316801616757345,0.4085136551019833
PERSIANN-CDR,13477.17210813575,102.09978869799811,4.855000819210266,0.28588784890218216,0.2495958515992376
