Month,monthly_bias_mean,site
2024-12-01,0.1771663701032225,Chirimachaya
2025-01-01,0.18640594806380598,Chirimachaya
2025-02-01,0.18000272650732882,Chirimachaya
2025-03-01,0.17912419489218345,Chirimachaya
2025-04-01,0.20545929556290307,Chirimachaya
2025-05-01,0.19630610301300191,Chirimachaya
2025-06-01,0.20140435553767064,Chirimachaya
2025-07-01,0.24063006277943172,Chirimachaya
2025-08-01,0.2222978476269912,Chirimachaya
2025-09-01,0.24796292375028137,Chirimachaya
2025-10-01,0.23477455822756327,Chirimachaya
2015-03-01,0.2607536882228322,Virgen
2015-04-01,0.26689122966075385,Virgen
2015-05-01,0.27359982463087235,Virgen
2015-06-01,0.28860349391985823,Virgen
2015-07-01,0.31133784039174356,Virgen
2015-08-01,0.324923390946134,Virgen
2015-09-01,0.34008559584899084,Virgen
2015-10-01,0.35433004416103436,Virgen
2015-11-01,0.3728850972279906,Virgen
2015-12-01,0.3584342972540086,Virgen
2016-01-01,0.33328957135094106,Virgen
2016-02-01,0.3034127096402462,Virgen
2016-03-01,0.2786025792594238,Virgen
2016-04-01,0.2836055736797827,Virgen
2016-05-01,0.2941295537793973,Virgen
2016-06-01,0.31036409102766604,Virgen
2016-07-01,0.3137838031574816,Virgen
2016-08-01,0.3330445531775982,Virgen
2016-09-01,0.3466083338873806,Virgen
2016-10-01,0.3815481641242901,Virgen
2016-11-01,0.3333899135332969,Virgen
2016-12-01,0.334956471343942,Virgen
2017-01-01,0.33434059055646265,Virgen
2017-02-01,0.30561600519314647,Virgen
2017-03-01,0.2747608218510305,Virgen
2017-04-01,0.2684359377746229,Virgen
2017-05-01,0.2772580561883561,Virgen
2017-06-01,0.29532966854020404,Virgen
2017-07-01,0.3086400550270593,Virgen
2017-08-01,0.3333131288818775,Virgen
2017-09-01,0.31654278170582323,Virgen
2017-10-01,0.3456074442300169,Virgen
2017-12-01,0.3630761529954653,Virgen
2018-01-01,0.3364393248411169,Virgen
2018-02-01,0.2713065182514607,Virgen
2018-03-01,0.25130213655461975,Virgen
2018-04-01,0.28895779528617854,Virgen
2018-05-01,0.3049791757778455,Virgen
2018-06-01,0.310804957587741,Virgen
2018-07-01,0.343890352859292,Virgen
2018-08-01,0.3602012660809956,Virgen
2018-09-01,0.3791543495327786,Virgen
2018-10-01,0.3353417586996671,Virgen
2018-11-01,0.3549245158847835,Virgen
2018-12-01,0.3652163390816326,Virgen
2019-01-01,0.3408715354407133,Virgen
2019-02-01,0.32052873058628945,Virgen
2019-03-01,0.28747011983501436,Virgen
2019-04-01,0.27760954207766936,Virgen
2019-05-01,0.29803703648642393,Virgen
2019-06-01,0.3097247801107389,Virgen
2019-07-01,0.34168197658049165,Virgen
2019-08-01,0.3560230221069521,Virgen
2019-09-01,0.3421446761419376,Virgen
2019-10-01,0.3918138624009907,Virgen
2019-11-01,0.37886646157657655,Virgen
2019-12-01,0.36667272870413503,Virgen
2020-01-01,0.35785736630776876,Virgen
2020-02-01,0.2932544166715209,Virgen
2020-03-01,0.27201875017195315,Virgen
2020-04-01,0.2998409682495726,Virgen
2020-05-01,0.31284812598630096,Virgen
2020-06-01,0.3141425562616852,Virgen
2020-07-01,0.3481760618566505,Virgen
2020-08-01,0.3605147477638871,Virgen
2020-09-01,0.3753567822323353,Virgen
2020-10-01,0.3855316694013534,Virgen
2020-11-01,0.3815420274304571,Virgen
2020-12-01,0.4073340135124849,Virgen
2021-01-01,0.36677446605099573,Virgen
2021-02-01,0.3339454863063163,Virgen
2021-03-01,0.3079412425024749,Virgen
2021-04-01,0.2976568431771464,Virgen
2021-05-01,0.3064618241516706,Virgen
2021-06-01,0.29891600927776757,Virgen
2021-07-01,0.3200076688206538,Virgen
2021-08-01,0.35222685632435435,Virgen
2021-09-01,0.38256018357800275,Virgen
2021-10-01,0.3942671045717586,Virgen
2021-11-01,0.39056773389787586,Virgen
2021-12-01,0.36739615803508346,Virgen
2022-01-01,0.3532033750447962,Virgen
2022-02-01,0.3278329178916682,Virgen
2022-03-01,0.3081377798016999,Virgen
2022-04-01,0.30149606377062976,Virgen
2022-05-01,0.30886851536588983,Virgen
2022-06-01,0.3176244816785609,Virgen
2022-07-01,0.3457199683970257,Virgen
2022-08-01,0.34801726111791037,Virgen
2022-09-01,0.3690730004923763,Virgen
2022-10-01,0.38945218332404785,Virgen
2022-11-01,0.37325157363138817,Virgen
2022-12-01,0.34935410307972664,Virgen
2023-01-01,0.38702323638997627,Virgen
2023-02-01,0.35455399161713225,Virgen
2023-03-01,0.3055748476957549,Virgen
2023-04-01,0.2936971264396553,Virgen
2023-05-01,0.29013366420474307,Virgen
2023-06-01,0.30804072830014756,Virgen
2023-07-01,0.3249260221865014,Virgen
