product,total_precipitation_mm,mean_monthly_mm,max_monthly_mm,mean_z_score,std_z_score,min_z_score,max_z_score,months_z_greater_1,months_z_less_minus_1,months_z_greater_2,months_z_less_minus_2
Local station,12836.311999999993,97.24478787878782,871.8119999999999,6.7286243916676156e-18,0.9570948408340447,-2.2309812715674693,2.9844171673988904,21,16,3,3
CHIRPS,9803.00773203733,74.26521009119189,241.68940083154794,-9.420074148334662e-17,0.9570948408340447,-1.6046783676251495,2.706588853849714,18,14,8,0
ERA5-Land,23881.788284392194,180.92263851812268,377.6232494243663,-2.287732293166989e-16,0.9570948408340445,-1.9653720554200418,2.206330895804546,24,24,2,0
PERSIANN-CDR,13477.17210813575,102.09978869799811,367.94324068106056,-2.3550185370836655e-17,0.9570948408340444,-1.9726040439958215,2.8647855693285424,22,17,3,0
