ctn2,area_m2,area_ha,pct_of_smap
PARAMO,109389871.57995291,10938.98715799529,98.25729812976898
PASTIZAL,905400.0,90.54,0.8132577215950977
CUERPO DE AGUA NATURAL,524065.0139931537,52.40650139931537,0.47073107935473296
PLANTACION FORESTAL,273085.36073975265,27.308536073975265,0.245293547908313
INFRAESTRUCTURA,231300.0,23.13,0.20776067042737587
BOSQUE NATIVO,6300.0,0.63,0.0056588509454927275
