Date,tdr_soil_moisture,smap_soil_moisture
2021-09-10,0.7216985479797979,0.22207146324217317
2021-09-11,0.7241152146464647,0.2240304630249738
2021-09-12,0.7402948232323233,0.2254182733595371
2021-09-13,0.7492686237373737,0.2242450658231973
2021-09-14,0.7362695707070706,0.22249608673155302
2021-09-15,0.7245126262626264,0.22082508727908132
2021-09-16,0.7182361111111111,0.21996805258095262
2021-09-17,0.713969696969697,0.2187374327331781
2021-09-18,0.7098756313131314,0.2191291842609644
2021-09-19,0.7075666035353536,0.21782323345541948
2021-09-20,0.7045104166666666,0.21690018661320207
2021-09-21,0.7137241161616161,0.215391244739294
2021-09-22,0.7483677398989897,0.21453315205872053
2021-09-23,0.7445113636363636,0.21479121968150136
2021-09-24,0.7383361742424241,0.21413146331906313
2021-09-25,0.7432187500000002,0.2138542719185352
2021-09-26,0.739386994949495,0.21312090195715422
2021-09-27,0.7304419191919191,0.21147178485989565
2021-09-28,0.7223396464646463,0.21033864840865132
2021-09-29,0.7161373106060606,0.20958726853132242
2021-09-30,0.7161714015151515,0.20914450287818906
2021-10-01,0.713740845959596,0.20894732326269144
2021-10-02,0.7094775883838385,0.2077731247991323
2021-10-03,0.7057035984848485,0.20667983219027514
2021-10-04,0.7141107954545455,0.2057946007698774
2021-10-05,0.7231799242424244,0.2048435807228088
2021-10-06,0.7237638888888889,0.2047250438481569
2021-10-07,0.7228948863636364,0.20447513088583943
2021-10-08,0.717582702020202,0.20304148457944388
2021-10-09,0.7123595328282829,0.20233487896621222
2021-10-10,0.7157323232323232,0.20191835239529607
2021-10-11,0.7274318181818181,0.20238217897713182
2021-10-12,0.7428071338383838,0.20175751484930513
2021-10-13,0.7406215277777778,0.20116645656526086
2021-10-14,0.7274261363636363,0.2003940753638744
2021-10-15,0.7072737967914438,0.20016924850642678
2021-10-16,0.6900088691796009,0.20093649253249163
2021-10-17,0.7124346422807961,0.20232951082289213
2021-10-18,0.7325834224598929,0.2055141646414995
2021-10-19,0.7143460055096419,0.20756092667579648
2021-10-20,0.7365661881977672,0.20971359498798842
2021-10-21,0.7371908559276981,0.2131608314812183
2021-10-22,0.7385130681818182,0.2157554719597101
2021-10-23,0.7250692307692308,0.2157905902713537
2021-10-24,0.7318560097620499,0.2177547179162502
