archivo_origen,Date,sensor_vwc_mean,sensor_mean,sensor_std,tdr_z_score,site,sensor_label
1,2015-01-01,0.7010277777777777,0.679930630973241,0.04557128169458804,0.4629482871674888,Chirimachaya,Sensor 1
1,2015-01-02,0.6737465277777779,0.679930630973241,0.04557128169458804,-0.13570176140552911,Chirimachaya,Sensor 1
1,2015-01-03,0.6655173611111111,0.679930630973241,0.04557128169458804,-0.31627966838250166,Chirimachaya,Sensor 1
1,2015-01-04,0.6607743055555555,0.679930630973241,0.04557128169458804,-0.42035959282577073,Chirimachaya,Sensor 1
1,2015-01-05,0.6590486111111111,0.679930630973241,0.04557128169458804,-0.4582276180441466,Chirimachaya,Sensor 1
1,2015-01-06,0.6560069444444445,0.679930630973241,0.04557128169458804,-0.5249728697368993,Chirimachaya,Sensor 1
1,2015-01-07,0.6520520833333333,0.679930630973241,0.04557128169458804,-0.6117569355794203,Chirimachaya,Sensor 1
1,2015-01-08,0.6481875,0.679930630973241,0.04557128169458804,-0.6965599779698702,Chirimachaya,Sensor 1
1,2015-01-09,0.6473125000000001,0.679930630973241,0.04557128169458804,-0.7157606668129903,Chirimachaya,Sensor 1
1,2015-01-10,0.6725243055555556,0.679930630973241,0.04557128169458804,-0.16252177121814285,Chirimachaya,Sensor 1
1,2015-01-11,0.6837222222222222,0.679930630973241,0.04557128169458804,0.083201330047987,Chirimachaya,Sensor 1
1,2015-01-12,0.6764409722222223,0.679930630973241,0.04557128169458804,-0.07657583068226768,Chirimachaya,Sensor 1
1,2015-01-13,0.6680694444444445,0.679930630973241,0.04557128169458804,-0.2602776592567319,Chirimachaya,Sensor 1
1,2015-01-14,0.6625104166666667,0.679930630973241,0.04557128169458804,-0.3822629879783074,Chirimachaya,Sensor 1
1,2015-01-15,0.6563402777777778,0.679930630973241,0.04557128169458804,-0.5176583216061873,Chirimachaya,Sensor 1
1,2015-01-16,0.6504791666666666,0.679930630973241,0.04557128169458804,-0.6462724595712219,Chirimachaya,Sensor 1
1,2015-01-17,0.6444548611111112,0.679930630973241,0.04557128169458804,-0.7784676783919136,Chirimachaya,Sensor 1
1,2015-01-18,0.6400208333333333,0.679930630973241,0.04557128169458804,-0.875766407172335,Chirimachaya,Sensor 1
1,2015-01-19,0.6399826388888888,0.679930630973241,0.04557128169458804,-0.8766045324789785,Chirimachaya,Sensor 1
1,2015-01-20,0.6816076388888889,0.679930630973241,0.04557128169458804,0.03679966534377728,Chirimachaya,Sensor 1
1,2015-01-21,0.7528541666666667,0.679930630973241,0.04557128169458804,1.6002081350739352,Chirimachaya,Sensor 1
1,2015-01-22,0.7576701388888889,0.679930630973241,0.04557128169458804,1.705888116920795,Chirimachaya,Sensor 1
1,2015-01-23,0.7607118055555556,0.679930630973241,0.04557128169458804,1.7726333686135498,Chirimachaya,Sensor 1
1,2015-01-24,0.7631284722222222,0.679930630973241,0.04557128169458804,1.8256638425612164,Chirimachaya,Sensor 1
1,2015-01-25,0.7640069444444444,0.679930630973241,0.04557128169458804,1.8449407246140308,Chirimachaya,Sensor 1
1,2015-01-26,0.7529652777777778,0.679930630973241,0.04557128169458804,1.6026463177841719,Chirimachaya,Sensor 1
1,2015-01-27,0.7180104166666665,0.679930630973241,0.04557128169458804,0.8356092757853638,Chirimachaya,Sensor 1
1,2015-01-28,0.7288159722222223,0.679930630973241,0.04557128169458804,1.072722544355973,Chirimachaya,Sensor 1
1,2015-01-29,0.6870972222222222,0.679930630973241,0.04557128169458804,0.15726112987145402,Chirimachaya,Sensor 1
1,2015-01-30,0.6745208333333333,0.679930630973241,0.04557128169458804,-0.11871067564356291,Chirimachaya,Sensor 1
1,2015-01-31,0.6851493055555555,0.679930630973241,0.04557128169458804,0.11451673923260028,Chirimachaya,Sensor 1
1,2015-02-01,0.7021215277777777,0.679930630973241,0.04557128169458804,0.4869491482213902,Chirimachaya,Sensor 1
1,2015-02-02,0.6909409722222222,0.679930630973241,0.04557128169458804,0.2416070130037338,Chirimachaya,Sensor 1
1,2015-02-03,0.6783229166666668,0.679930630973241,0.04557128169458804,-0.035279111027618465,Chirimachaya,Sensor 1
