Week,local_vwc_mean,local_z_score,site,smap_soil_moisture_mean,smap_z_score
2015-01-04,0.6752664930555556,0.29701928610019335,Chirimachaya,,
2015-01-11,0.6598363095238096,0.10480025541697675,Chirimachaya,,
2015-01-18,0.6569022817460318,0.06825007607000115,Chirimachaya,,
2015-01-25,0.7314231150793651,0.9965813768330788,Chirimachaya,,
2015-02-01,0.706954365079365,0.691765857474332,Chirimachaya,,
2015-02-08,0.6747822420634921,0.29098680721811615,Chirimachaya,,
2015-02-15,0.6586512896825397,0.09003806125638066,Chirimachaya,,
2015-02-22,0.6500505952380952,-0.01710370707789273,Chirimachaya,,
2015-03-01,0.6606696428571429,0.11518137144452051,Chirimachaya,,
2015-03-08,0.6884325396825397,0.4610331952907167,Chirimachaya,,
2015-03-15,0.7084667658730158,0.7106063472171771,Chirimachaya,,
2015-03-22,0.731187996031746,0.9936524190967357,Chirimachaya,,
2015-03-29,0.709217757936508,0.7199617101134288,Chirimachaya,,
2015-04-05,0.7118888888888889,0.7532368945231438,Chirimachaya,0.33676734069983166,1.3926235257474795
2015-04-12,0.664780257936508,0.16638869794467084,Chirimachaya,0.3248448579439095,1.1466230080332633
2015-04-19,0.7118397817460317,0.7526251501858054,Chirimachaya,0.3291032144001552,1.234487080835363
2015-04-26,0.714765873015873,0.7890764617610915,Chirimachaya,0.34060804333005634,1.4718700094509105
2015-05-03,0.7073943452380952,0.6972468395674455,Chirimachaya,0.3280482276209763,1.2127191907764945
2015-05-10,0.7029975198412698,0.6424740940506921,Chirimachaya,0.33336855098605156,1.3224951769539914
2015-05-17,0.7116284722222223,0.7499927957645366,Chirimachaya,0.31932634274874416,1.0327576644788674
2015-05-24,0.6808531746031746,0.36661447332591623,Chirimachaya,0.3148060366511345,0.9394886983580019
2015-05-31,0.6687351190476191,0.21565574442538757,Chirimachaya,0.3130542077124119,0.9033426342625478
2015-06-07,0.7095595238095238,0.7242192035318672,Chirimachaya,0.3099561578461102,0.8394195499002651
2015-06-14,0.7083204365079365,0.7087834726766271,Chirimachaya,0.3085627928376198,0.8106697902679223
2015-06-21,0.7086522817460318,0.7129173813804528,Chirimachaya,0.31899230235389303,1.0258652988740589
2015-06-28,0.7411309523809524,1.11751519931823,Chirimachaya,0.3077359305960791,0.7936088690100322
2015-07-05,0.6837529761904763,0.4027382854074759,Chirimachaya,0.29686821677855085,0.569371746573942
2015-07-12,0.7339672619047619,1.02827467689574,Chirimachaya,0.2905695704477173,0.43940970007702895
2015-07-19,0.6732058531746031,0.2713491960660116,Chirimachaya,0.284914527620588,0.322727336877228
2015-07-26,0.7180292658730159,0.8297296536332393,Chirimachaya,0.2831730603107384,0.28679506768668667
2015-08-02,0.7503080357142857,1.2318372395715529,Chirimachaya,0.27858296994652065,0.1920862197840364
2015-08-09,0.6697108134920636,0.22781030110763792,Chirimachaya,0.2693402442548956,0.0013780131312868841
2015-08-16,0.6633789682539682,0.1489323570054975,Chirimachaya,0.26140900701284403,-0.1622698199251133
2015-08-23,0.6673630952380952,0.19856397839432452,Chirimachaya,0.25421865816627226,-0.3106306584361906
2015-08-30,0.6442351190476191,-0.08954906678439124,Chirimachaya,0.2446637137659958,-0.5077809766474711
2015-09-06,0.7149939849624061,0.7919181296621656,Chirimachaya,0.23540463724306648,-0.6988265553936222
2015-09-13,0.6761847303790711,0.3084580799356756,Chirimachaya,0.22914582198219638,-0.8279667542911121
2015-09-20,0.6318665674603176,-0.24362830972891303,Chirimachaya,0.22152137756347653,-0.9852844298697734
2015-09-27,0.610875,-0.5051273866155898,Chirimachaya,0.215659512206912,-1.1062342305117259
2015-10-04,0.5907058531746031,-0.7563812906607963,Chirimachaya,0.21161033585667607,-1.1897822212168845
2015-10-11,0.6632911706349207,0.14783863228116806,Chirimachaya,0.20507895334490706,-1.3245463900714514
2015-10-18,0.7310084325396825,0.9914155357622293,Chirimachaya,0.21293529548815315,-1.1624438922826785
2015-10-25,0.6816865079365079,0.3769955893534586,Chirimachaya,0.2172531001269817,-1.0733532055284405
2015-11-01,0.6520644841269841,0.007983989988671914,Chirimachaya,0.21618051986609182,-1.095484107696271
2015-11-08,0.6275515873015873,-0.29738148135010484,Chirimachaya,0.22035183491451396,-1.0094159889605792
2015-11-15,0.614983630952381,-0.4539447770583611,Chirimachaya,0.21928639869604788,-1.0313994857455877
2015-11-22,0.6456681547619048,-0.07169725475845552,Chirimachaya,0.21537008961396556,-1.1122059822987143
2015-11-29,0.7174017857142857,0.8219129204339283,Chirimachaya,0.22418323611574512,-0.9303614247083845
2015-12-06,0.6636527777777778,0.15234329512883307,Chirimachaya,0.21949644386768338,-1.027065554464367
2015-12-13,0.6355218253968254,-0.19809352162952776,Chirimachaya,0.21443356493754043,-1.1315296047328323
2015-12-20,0.6365902777777778,-0.18478344786564235,Chirimachaya,0.22532031099711142,-0.906899783771475
2015-12-27,0.6334017857142857,-0.22450357514245725,Chirimachaya,0.22236032331628455,-0.9679741855397994
2016-01-03,0.6179464285714286,-0.4170362020390057,Chirimachaya,0.21547599402921538,-1.1100208215806804
2016-01-10,0.5868407738095238,-0.804529895474259,Chirimachaya,0.21718595070498328,-1.0747387216926485
2016-01-17,0.5695426587301586,-1.0200183831102871,Chirimachaya,0.23669677227735517,-0.6721655071959386
2016-01-24,0.6486483134920634,-0.034572406488526906,Chirimachaya,0.2500027191958257,-0.39761951726815137
2016-01-31,0.6731517857142858,0.27067565937136906,Chirimachaya,0.2566030177154711,-0.2614333817004873
