year_month,days,mean_tdr,mean_smap,mean_bias,mae,rmse,direction
2021-09,21,0.6971065641534392,0.2170480470217409,-0.4800585171316982,0.4800585171316982,0.4802683733131043,SMAP underestimates
2021-10,31,0.6939043691339309,0.2102036847462577,-0.48370068438767316,0.48370068438767316,0.4838474775544165,SMAP underestimates
2021-11,30,0.6859528302263301,0.22888282400866347,-0.45707000621766664,0.45707000621766664,0.4573979475270737,SMAP underestimates
2021-12,31,0.6950575810185184,0.24327717739487845,-0.4517804036236401,0.4517804036236401,0.4524717659797376,SMAP underestimates
2022-01,31,0.6668578255675031,0.24005018643313836,-0.42680763913436465,0.42680763913436465,0.42733911944202535,SMAP underestimates
2022-02,28,0.6875557002314815,0.2760193781661136,-0.41153632206536794,0.41153632206536794,0.4118478486589962,SMAP underestimates
2022-03,31,0.7047095840800478,0.3154872933462743,-0.3892222907337735,0.3892222907337735,0.38959935475944335,SMAP underestimates
2022-04,30,0.7011566165123457,0.32130940407514574,-0.3798472124372,0.3798472124372,0.3800683457069412,SMAP underestimates
2022-05,31,0.7049345054785261,0.3078688520096963,-0.39706565346882966,0.39706565346882966,0.3973220313170818,SMAP underestimates
2022-06,30,0.6976753285623064,0.2965542315195004,-0.40112109704280596,0.40112109704280596,0.4015227234731293,SMAP underestimates
2022-07,31,0.7053235995605265,0.2779403654558043,-0.42738323410472223,0.42738323410472223,0.42773164320471513,SMAP underestimates
2022-08,31,0.68652820882744,0.2582679549532552,-0.42826025387418487,0.42826025387418487,0.4286468553468117,SMAP underestimates
2022-09,30,0.6683209303978039,0.22345279386887945,-0.44486813652892443,0.44486813652892443,0.44509651691677593,SMAP underestimates
2022-10,31,0.6664937627139856,0.20897776170844026,-0.45751600100554535,0.45751600100554535,0.45898365388456486,SMAP underestimates
2022-11,30,0.6669065970670389,0.20346788528064882,-0.46343871178639007,0.46343871178639007,0.463846346191955,SMAP underestimates
2022-12,31,0.6575948304638175,0.1989738860678288,-0.4586209443959887,0.4586209443959887,0.45888311710425805,SMAP underestimates
2023-01,31,0.7024451187491827,0.23085427152053,-0.4715908472286527,0.4715908472286527,0.471972966959088,SMAP underestimates
