date,precipitation_mm
2015-01-01,5.213256799708779
2015-01-02,1.83726047315629
2015-01-03,1.5983036577278535
2015-01-04,3.6187549153517957
2015-01-05,2.010909712329744
2015-01-06,2.49238440847781
2015-01-07,2.2098990615667886
2015-01-08,1.9553113737634074
2015-01-09,9.645584722352217
2015-01-10,4.440365818253213
2015-01-11,2.4801958384858924
2015-01-12,1.6285741269787082
2015-01-13,5.098734093993987
2015-01-14,3.8558390408460705
2015-01-15,2.854738095332761
2015-01-16,6.6558224042896335
2015-01-17,6.741647853223749
2015-01-18,23.484304426020874
2015-01-19,17.53423163046811
2015-01-20,11.822586691631294
2015-01-21,16.762075357150504
2015-01-22,24.749849509263175
2015-01-23,5.294053526834976
2015-01-24,9.356490802055198
2015-01-25,7.0031472404314785
2015-01-26,4.454746549317229
2015-01-27,16.23576740059427
2015-01-28,5.8074572440911485
2015-01-29,6.068772942472318
2015-01-30,4.733284932257592
2015-01-31,7.134205366336494
2015-02-01,7.172116804866805
2015-02-02,6.705605715051297
2015-02-03,5.843192197230042
2015-02-04,3.989591088208991
2015-02-05,3.2208318731149452
2015-02-06,3.6570049448358732
2015-02-07,13.687048694388965
2015-02-08,21.306363657008557
2015-02-09,6.702018669554244
2015-02-10,15.350724482547177
2015-02-11,6.032511905051765
2015-02-12,1.8202077083071397
2015-02-13,4.951984877183362
2015-02-14,5.81717515747161
2015-02-15,9.915050784786027
2015-02-16,5.670513096596341
2015-02-17,2.5329066970838845
2015-02-18,1.5307947574329528
2015-02-19,3.308621993259472
2015-02-20,1.4917488875706735
2015-02-21,2.632108888719235
2015-02-22,4.286237529715613
2015-02-23,3.0938648335237917
2015-02-24,5.758207950965866
2015-02-25,6.435119149733178
2015-02-26,8.375419973097609
2015-02-27,4.779461576359331
2015-02-28,4.458398423919905
2015-03-01,3.859786286529445
2015-03-02,12.84117246226952
2015-03-03,17.516570081549833
2015-03-04,9.078886582366463
2015-03-05,3.598768874958409
2015-03-06,4.505139271249109
2015-03-07,6.488879541023634
2015-03-08,2.540041200166486
2015-03-09,3.684821130824077
2015-03-10,8.18539241689039
2015-03-11,6.336088017363103
2015-03-12,6.634284402034333
2015-03-13,7.629423209959883
2015-03-14,9.746894616782804
2015-03-15,10.641816188173099
2015-03-16,7.934211091476956
2015-03-17,7.49643135781909
2015-03-18,12.48909504234218
2015-03-19,25.18982816718052
2015-03-20,25.846743727378936
2015-03-21,15.593857326705994
2015-03-22,12.808052991845486
2015-03-23,15.62277822534887
2015-03-24,13.230407619683586
2015-03-25,13.651076449385826
2015-03-26,12.490232541022081
2015-03-27,4.455922043070619
2015-03-28,11.365597658881521
2015-03-29,14.62349003793728
2015-03-30,5.636582415284997
2015-03-31,7.534118420587211
2015-04-01,5.958992184882008
2015-04-02,11.234920377785564
2015-04-03,4.36266675916309
2015-04-04,2.150213957291807
2015-04-05,8.56223803217474
2015-04-06,4.485768369203892
2015-04-07,1.9338049197651375
2015-04-08,4.47592381581193
2015-04-09,3.0624457713305153
2015-04-10,3.767607613806211
2015-04-11,7.501456954361069
2015-04-12,9.148990023570486
2015-04-13,1.9703014039783397
2015-04-14,4.127681109214737
2015-04-15,7.792318226325382
2015-04-16,6.139655668112315
2015-04-17,10.3638783525095
2015-04-18,11.893822522745062
2015-04-19,8.428051972741775
2015-04-20,8.352554501193792
2015-04-21,7.761600396294197
2015-04-22,4.351680410261597
2015-04-23,5.337576192118182
2015-04-24,9.098110888983364
2015-04-25,10.277839310348783
2015-04-26,19.8376282975579
2015-04-27,11.700993275513717
2015-04-28,5.0271174485215075
