date,precipitation_mm
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,0.4550838025853743
2015-01-04,0.5850422416965061
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.27268781329458935
2015-01-10,0.18074471168068412
2015-01-11,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.00037229930872390216
2015-01-17,5.378083993605332
2015-01-18,5.331819337239222
2015-01-19,0.0
2015-01-20,1.5685474715804897
2015-01-21,0.0777060322022995
2015-01-22,0.38604517553850154
2015-01-23,8.660582107810235
2015-01-24,17.415176012497906
2015-01-25,0.8928183311771324
2015-01-26,0.011437509844275813
2015-01-27,9.98095435841298
2015-01-28,1.0427916498096472
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.4168392459445849
2015-02-01,2.1153369201530197
2015-02-02,0.1047101149157272
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.004344878346937459
2015-02-07,1.7068281593629702
2015-02-08,12.673915095282501
2015-02-09,20.9585922573313
2015-02-10,0.0
2015-02-11,0.20412610194948005
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,12.38037693639913
2015-02-15,3.262363445533601
2015-02-16,0.0025439397802331136
2015-02-17,0.0
2015-02-18,2.5867943232293333
2015-02-19,3.1461128483765926
2015-02-20,14.007327897765819
2015-02-21,4.495183592462159
2015-02-22,0.2714524065480861
2015-02-23,0.0
2015-02-24,0.11073529923088121
2015-02-25,10.605534791626674
2015-02-26,0.500890970583498
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,7.4666052889919845
2015-03-02,1.2948754177910689
2015-03-03,6.746306161898668
2015-03-04,0.030316177661022386
2015-03-05,1.6189256490147748
2015-03-06,2.946256453145647
2015-03-07,0.39776480184724283
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.30322165021704967
2015-03-18,12.979924609323803
2015-03-19,0.8473853346707048
2015-03-20,25.996304839256968
2015-03-21,2.0974614730322303
2015-03-22,28.97343346647575
2015-03-23,0.0
2015-03-24,0.15601868025093102
2015-03-25,1.750272346704626
2015-03-26,5.328185040387082
2015-03-27,2.4855636356550224
2015-03-28,0.22803142525528614
2015-03-29,46.646403717618284
2015-03-30,0.12719779448422494
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,12.258895290443999
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,4.855105346554441
2015-04-06,0.08389562443419377
2015-04-07,0.08008804045977111
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.09513749522753127
2015-04-16,24.850442500332434
2015-04-17,2.3834192388055406
2015-04-18,17.353240577298905
2015-04-19,4.654809195055803
2015-04-20,0.38892303756065144
2015-04-21,11.961806919076453
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,0.04420102631274726
2015-04-26,0.08263078680644946
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,2.6535444945343083
2015-05-02,0.908960288046018
2015-05-03,4.914253184451128
2015-05-04,13.52637724329707
2015-05-05,11.093223860282729
2015-05-06,2.1661743590279956
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,0.5149221415239578
2015-05-12,0.391834896166089
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,11.593927273466354
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,3.9543630157591676
2015-05-26,1.013959912028904
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.13396357258154362
2015-05-30,0.0
2015-05-31,0.3402904921401695
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.5178301916137469
2015-06-05,3.8714363983966904
2015-06-06,0.19528388927687593
2015-06-07,0.03937711452727087
2015-06-08,0.3487552194694288
2015-06-09,0.0
2015-06-10,23.97282759934553
2015-06-11,2.7853211620158396
2015-06-12,2.7639590436855856
2015-06-13,1.1838158182353689
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,27.282569152636906
2015-06-17,2.761065043974065
2015-06-18,0.0
2015-06-19,4.251463735759633
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,1.3350182395092116
2015-06-25,5.1875354838063314
2015-06-26,4.0674519475604765
2015-06-27,2.042950869823819
2015-06-28,0.08124823743359183
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,3.7316906159197236
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.11135216354776868
2015-07-09,0.0
2015-07-10,1.1413138739303132
2015-07-11,0.45578566832286965
2015-07-12,6.151421511271135
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,3.3136771951644954
2015-07-17,0.0
2015-07-18,0.02226433099792881
2015-07-19,0.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,3.939062245797542
2015-07-23,0.31785987859119724
2015-07-24,0.0
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,6.19138144282255
2015-07-30,7.784983124757762
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,2.2521094588496546
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,3.0599435600586986
2015-08-10,0.0074982215574936895
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,4.316546309323288
2015-08-16,3.8088036386152724
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.2671306897333851
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,1.2627227487775676
2015-08-25,0.23910120200334495
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,7.7123987894323225
2015-08-29,1.5547097440388913
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,3.5740305474681633
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,7.11148869652211
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.2296715711864632
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,1.2572183845278946
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
