Date,tdr_soil_moisture,smap_soil_moisture
2021-09-10,0.6918287037037038,0.22207146324217317
2021-09-11,0.6939320023148148,0.2240304630249738
2021-09-12,0.7114655671296296,0.2254182733595371
2021-09-13,0.7201527777777778,0.2242450658231973
2021-09-14,0.7062337962962961,0.22249608673155302
2021-09-15,0.6945691550925925,0.22082508727908132
2021-09-16,0.6884725115740742,0.21996805258095262
2021-09-17,0.6842896412037037,0.2187374327331781
2021-09-18,0.6802919560185184,0.2191291842609644
2021-09-19,0.6779484953703704,0.21782323345541948
2021-09-20,0.6749704861111111,0.21690018661320207
2021-09-21,0.6842123842592592,0.215391244739294
2021-09-22,0.7200859374999999,0.21453315205872053
2021-09-23,0.714691550925926,0.21479121968150136
2021-09-24,0.7079204282407406,0.21413146331906313
2021-09-25,0.713390914351852,0.2138542719185352
2021-09-26,0.709451388888889,0.21312090195715422
2021-09-27,0.7001880787037037,0.21147178485989565
2021-09-28,0.6924302662037037,0.21033864840865132
2021-09-29,0.6864372106481481,0.20958726853132242
2021-09-30,0.6862745949074075,0.20914450287818906
2021-10-01,0.6839673032407408,0.20894732326269144
2021-10-02,0.679894675925926,0.2077731247991323
2021-10-03,0.6762369791666667,0.20667983219027514
2021-10-04,0.683847800925926,0.2057946007698774
2021-10-05,0.6924635416666667,0.2048435807228088
2021-10-06,0.6934140625,0.2047250438481569
2021-10-07,0.692796875,0.20447513088583943
2021-10-08,0.6878041087962963,0.20304148457944388
2021-10-09,0.6827879050925927,0.20233487896621222
2021-10-10,0.6856976273148149,0.20191835239529607
2021-10-11,0.6978900462962963,0.20238217897713182
2021-10-12,0.7134719328703704,0.20175751484930513
2021-10-13,0.7104458912037037,0.20116645656526086
2021-10-14,0.6972907986111111,0.2003940753638744
2021-10-15,0.6779549019607843,0.20016924850642678
2021-10-16,0.6612733739837399,0.20093649253249163
2021-10-17,0.6834072978303748,0.20232951082289213
2021-10-18,0.7041382352941176,0.2055141646414995
2021-10-19,0.6862813131313131,0.20756092667579648
2021-10-20,0.7088538011695906,0.20971359498798842
2021-10-21,0.7093182261208577,0.2131608314812183
2021-10-22,0.7099770833333333,0.2157554719597101
2021-10-23,0.6985269230769231,0.2157905902713537
2021-10-24,0.7018282997762864,0.2177547179162502
2021-10-25,0.6941233766233766,0.21876767277717585
2021-10-26,0.7004523809523809,0.22492618113756177
2021-10-27,0.6967352941176471,0.2267142534255981
2021-10-28,0.6910449494949495,0.2267205975949764
2021-10-29,0.7019965686274509,0.2254039458930492
2021-10-30,0.70265625,0.2248922288417816
2021-10-31,0.704457619047619,0.22397021949291224
2021-11-01,0.6956916195856874,0.22319381125271318
2021-11-02,0.7081490990990992,0.22491259872913355
2021-11-03,0.7049593253968255,0.2265844978392124
2021-11-04,0.7024489700374533,0.22985835745930666
2021-11-05,0.6971842723004694,0.22836838476359841
2021-11-06,0.6957436342592592,0.22697708569467062
2021-11-07,0.6887552083333333,0.22664147615432736
2021-11-08,0.695212962962963,0.2272121664136648
2021-11-09,0.694302662037037,0.22992946766316885
2021-11-10,0.6918706597222221,0.2287625223398208
2021-11-11,0.6857294560185184,0.22722061723470685
2021-11-12,0.6803249421296297,0.2266473416239023
2021-11-13,0.6764930555555555,0.22644910588860506
2021-11-14,0.6730581597222223,0.2259009890258312
2021-11-15,0.66953125,0.22549797408282754
2021-11-16,0.6671174768518519,0.22596177272498605
2021-11-17,0.6635396412037037,0.22516372054815287
2021-11-18,0.6614675925925925,0.22434902377426622
2021-11-19,0.6596501736111112,0.22355033457279203
2021-11-20,0.6580879629629629,0.2231281585991382
2021-11-21,0.6561070601851853,0.22350630722939965
2021-11-22,0.6547682291666667,0.22276685573160646
2021-11-23,0.6538570601851852,0.22253739461302754
2021-11-24,0.6776278935185185,0.2244173754006624
2021-11-25,0.7306701388888889,0.22998809814453122
2021-11-26,0.7257954282407407,0.24495803564786905
2021-11-27,0.7159033564814813,0.2458707112818956
2021-11-28,0.7047430555555555,0.24282291345298285
2021-11-29,0.6976805555555554,0.24158095009624952
2021-11-30,0.6921140046296297,0.24172667227685446
2021-12-01,0.6870083912037037,0.24205334112048144
2021-12-02,0.6823998842592592,0.2427488528192043
2021-12-03,0.6783153935185186,0.24195056967437265
2021-12-04,0.6743645833333334,0.24168304167687887
2021-12-05,0.6710668402777777,0.2446295842528343
2021-12-06,0.6690674189814815,0.25003913231194014
