tdr_regime,days,mean_tdr,mean_smap,mean_bias,mae,corr,direction
Dry,471,0.6306027954715856,0.2351334810557512,-0.3954693144158344,0.3954693144158344,0.26630271410602996,SMAP underestimates
Transition,470,0.6835704486683857,0.290624467381998,-0.3929459812863876,0.3929459812863876,0.03391707347181555,SMAP underestimates
Wet,470,0.7144890985689766,0.2947161100170714,-0.4197729885519052,0.4197729885519052,0.21920285179907528,SMAP underestimates
