Reference,Lat,Lon,Elevation,Date,dNBR
AB1,-0.56421,-78.34757,4208,10/03/2026,
AB2,-0.56353,-78.34707,4213,10/03/2026,
AB3,-0.56289,-78.34648,4217,10/03/2026,
AB4,-0.55977,-78.34697,4247,10/03/2026,
AB5,-0.55966,-78.3451,4242,10/03/2026,
AR1,-0.56269,-78.34733,4218,10/03/2026,
AR2,-0.5619,-78.34782,4220,10/03/2026,
AR3,-0.55999,-78.34843,4251,10/03/2026,
AR4,-0.55913,-78.34723,4260,10/03/2026,
AR5,-0.55928,-78.34594,4249,10/03/2026,
