Reference,depth,group,organic_matter_pct,pH_field,bulk_density_field_g_cm3,vwc_sat_field_cm3cm3,vwc_field_cap_field_cm3cm3,vwc_wilt_pt_field_cm3cm3,Lat,Lon,Elevation,Date,dNBR,bdod_sg_g_cm3,phh2o_sg,vwc_10kPa_sg_cm3cm3,vwc_fc_sg_cm3cm3,vwc_wp_sg_cm3cm3
YH3,10-20,Yanasacha_High_Burn,31.01,5.68,0.534,0.767,0.62,0.298,-2.94224,-79.20681,3615,26/11/2025,0.44,1.1,5.45,0.408,0.3625,0.1635
YH4,0-10,Yanasacha_High_Burn,41.67,5.98,0.465,0.778,0.471,0.275,-2.94117,-79.20705,3556,26/11/2025,0.48,1.05,5.3,0.4275,0.3735,0.1735
YH4,10-20,Yanasacha_High_Burn,39.1,5.88,0.506,0.772,0.571,0.358,-2.94117,-79.20705,3556,26/11/2025,0.48,1.095,5.35,0.4135,0.371,0.171
YH5,0-10,Yanasacha_High_Burn,37.77,5.69,0.448,0.81,0.503,0.249,-2.94126,-79.20765,3526,26/11/2025,0.48,1.045,5.35,0.413,0.363,0.174
YH5,10-20,Yanasacha_High_Burn,35.61,5.97,0.515,0.767,0.624,0.319,-2.94126,-79.20765,3526,26/11/2025,0.48,1.09,5.4,0.4015,0.3605,0.172
YR1,0-10,Yanasacha_Reference,51.38,6.02,0.227,0.901,0.631,0.305,-2.96968,-79.198,3712,07/03/2026,,1.055,5.35,0.406,0.3365,0.1655
YR1,10-20,Yanasacha_Reference,53.25,5.55,0.272,0.864,0.67,0.265,-2.96968,-79.198,3712,07/03/2026,,1.11,5.4,0.396,0.337,0.1625
YR2,0-10,Yanasacha_Reference,50.99,5.1,0.173,0.957,0.601,0.181,-2.9685,-79.19846,3727,07/03/2026,,1.04,5.25,0.4045,0.337,0.165
YR2,10-20,Yanasacha_Reference,34.47,5.53,0.298,0.842,0.664,0.245,-2.9685,-79.19846,3727,07/03/2026,,1.09,5.3,0.394,0.339,0.1615
YR3,0-10,Yanasacha_Reference,71.37,5.26,0.19,0.916,0.652,0.258,-2.97016,-79.1984,3721,07/03/2026,,1.055,5.35,0.406,0.3365,0.1655
YR3,10-20,Yanasacha_Reference,64.68,5.28,0.238,0.877,0.653,0.342,-2.97016,-79.1984,3721,07/03/2026,,1.11,5.4,0.396,0.337,0.1625
YR4,0-10,Yanasacha_Reference,61.67,5.43,0.252,0.874,0.588,0.319,-2.97061,-79.19613,3701,07/03/2026,,1.05,5.35,0.404,0.336,0.165
YR4,10-20,Yanasacha_Reference,58.55,5.56,0.293,0.844,0.675,0.326,-2.97061,-79.19613,3701,07/03/2026,,1.11,5.4,0.3915,0.3385,0.162
YR5,0-10,Yanasacha_Reference,63.27,5.43,0.233,0.868,0.613,0.318,-2.97085,-79.19513,3695,07/03/2026,,1.05,5.35,0.404,0.336,0.165
YR5,10-20,Yanasacha_Reference,60.82,5.59,0.278,0.84,0.653,0.319,-2.97085,-79.19513,3695,07/03/2026,,1.11,5.4,0.3915,0.3385,0.162
