date,precip_anom
2021-09-01,-6.611966987450916
2021-10-01,1.1560945510864258
2021-11-01,-4.635596470038095
2021-12-01,15.280337173363257
2022-01-01,-13.407147991657254
2022-02-01,-41.8559999426206
2022-03-01,12.66151695251466
2022-04-01,-9.866240684191382
2022-05-01,-19.689069759845736
2022-06-01,20.894444338480632
2022-07-01,-2.6535386463006336
2022-08-01,-2.008640390634536
2022-09-01,22.903580407301586
2022-10-01,-2.0080931186676025
2022-11-01,-16.53990765015284
2022-12-01,-21.260688942054223
2023-01-01,-6.890674459934232
2023-02-01,-12.057309146722162
2023-03-01,56.6091278076172
2023-04-01,270.95295220216116
2023-05-01,-17.07035804986954
2023-06-01,-11.664502509435017
2023-07-01,6.113235531250636
2023-08-01,1.7345688521862037
2023-09-01,-9.127125044663746
2023-10-01,8.078670978546143
2023-11-01,-5.361714080969492
2023-12-01,24.686973411461402
2024-01-01,-24.390721905231473
2024-02-01,141.6161541978518
2024-03-01,-67.80505628585814
2024-04-01,-28.444879714647925
2024-05-01,-22.511093628406528
2024-06-01,-5.340664394696553
2024-07-01,-3.8678596635659535
2024-08-01,-2.2640466511249535
2024-09-01,2.0725409785906486
2024-10-01,-7.2181172370910645
2024-11-01,32.08752541144689
2024-12-01,14.854736167809058
2025-01-01,-10.372871983051297
2025-02-01,16.120068077246344
2025-03-01,40.6027105331421
2025-04-01,16.587824638684594
2025-05-01,-22.51868559122086
2025-06-01,-2.9649695237477616
2025-07-01,-4.444976749022802
2025-08-01,-3.4994889318943017
2025-09-01,-2.4891710480054208
2025-10-01,1.7912673950195312
2025-11-01,-10.47317285935084
2025-12-01,-21.91626278696389
2026-01-01,16.07520617246628
2026-02-01,-14.595099922021234
